,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2014-01-02 21:00:00+00:00,,0.0,,-0.009583825999999962,,,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-02 21:00:00+00:00,2014-01,2014-01-02 14:31:00+00:00,0.0,20000.0,[],0.0,,0.0,0.0,0,,20000.0,0.0,0.0,1,[],0.0
2014-01-03 21:00:00+00:00,0.0,0.0,0.0,-0.009746477096175155,0.10573475898633962,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-03 21:00:00+00:00,2014-01,2014-01-03 14:31:00+00:00,0.0,20000.0,[],0.0,,0.0,0.0,0,,20000.0,0.0,0.0,2,[],0.0
2014-01-06 21:00:00+00:00,0.0,0.0,0.0,-0.012616193185662983,0.07692805356458152,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-06 21:00:00+00:00,2014-01,2014-01-06 14:31:00+00:00,0.0,20000.0,[],0.0,,0.0,0.0,0,,20000.0,0.0,0.0,3,[],0.0
2014-01-07 21:00:00+00:00,0.0,0.0,0.0,-0.0065517470115405985,0.10345765797454332,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-07 21:00:00+00:00,2014-01,2014-01-07 14:31:00+00:00,0.0,20000.0,[],0.0,,0.0,0.0,0,,20000.0,0.0,0.0,4,[],0.0
2014-01-08 21:00:00+00:00,0.0,0.0,0.0,-0.00633499746515187,0.09054849020163873,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-08 21:00:00+00:00,2014-01,2014-01-08 14:31:00+00:00,0.0,20000.0,[],0.0,,0.0,0.0,0,,20000.0,0.0,0.0,5,[],0.0
2014-01-09 21:00:00+00:00,0.0,0.0,0.0,-0.00568532835617952,0.08193047337480583,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-09 21:00:00+00:00,2014-01,2014-01-09 14:31:00+00:00,0.0,20000.0,[],0.0,,0.0,0.0,0,,20000.0,0.0,0.0,6,[],0.0
2014-01-10 21:00:00+00:00,0.0,0.0,0.0,-0.002978368310138868,0.07795108723642748,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"[{'dt': Timestamp('2014-01-10 21:00:00+0000', tz='UTC'), 'stop': None, 'commission': 0, 'sid': Equity(1979 [NFLX]), 'created': Timestamp('2014-01-10 21:00:00+0000', tz='UTC'), 'status': 0, 'limit_reached': False, 'filled': 0, 'stop_reached': False, 'reason': None, 'amount': 12, 'id': '9b04bc2511e7422d952aa82d25f933dd', 'limit': None}]",2014-01-10 21:00:00+00:00,2014-01,2014-01-10 14:31:00+00:00,0.0,20000.0,[],0.0,,0.0,0.0,0,,20000.0,0.0,0.0,7,[],0.0
2014-01-13 21:00:00+00:00,0.0005704699226453976,-0.0001016429999999291,-0.0011823829403541097,-0.01624357262311671,0.10218333202550647,0.003952325908688793,-4043.75286,15956.24714,4041.7200000000003,4041.7200000000003,0.0,0.20210654271532122,4041.7200000000003,4041.7200000000003,1,-0.0001016429999999957,0.20210654271532122,0.20210654271532122,"[{'dt': Timestamp('2014-01-13 21:00:00+0000', tz='UTC'), 'stop': None, 'commission': 0.012, 'sid': Equity(1979 [NFLX]), 'created': Timestamp('2014-01-10 21:00:00+0000', tz='UTC'), 'status': 1, 'limit_reached': False, 'filled': 12, 'stop_reached': False, 'reason': None, 'amount': 12, 'id': '9b04bc2511e7422d952aa82d25f933dd', 'limit': None}]",2014-01-13 21:00:00+00:00,2014-01,2014-01-13 14:31:00+00:00,-2.0328599999993457,19997.96714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 336.81, 'amount': 12}]",-0.0001016429999999291,-5.612486080160913,0.0,0.0,0,-5.612486080160913,20000.0,0.0,0.0,8,"[{'price': 336.978405, 'commission': None, 'dt': Timestamp('2014-01-13 21:00:00+0000', tz='UTC'), 'order_id': '9b04bc2511e7422d952aa82d25f933dd', 'sid': Equity(1979 [NFLX]), 'amount': 12}]",0.0
2014-01-14 21:00:00+00:00,0.0037568300943821645,0.0005883570000000393,0.019798683698255548,-0.005522861675555157,0.11753075384969626,0.021025468182314863,0.0,15956.24714,4055.5199999999995,4055.5199999999995,0.0,0.20265676547343633,4055.5199999999995,4055.5199999999995,1,-0.0001016429999999957,0.20265676547343633,0.20265676547343633,[],2014-01-14 21:00:00+00:00,2014-01,2014-01-14 14:31:00+00:00,13.799999999999272,20011.76714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 337.96, 'amount': 12}]",0.0006900701407992482,4.385601565271351,0.0,0.0,0,30.63333194094769,15956.24714,4041.7200000000003,4041.7200000000003,9,[],0.0
2014-01-15 21:00:00+00:00,0.023415009363840184,-0.003959642999999957,-0.09486611446869886,-0.00016265078400623523,0.11480430773960217,-0.033136152376317694,0.0,15956.24714,3964.56,3964.56,0.0,0.19901603243973778,3964.56,3964.56,1,-0.004545325725792008,0.20265676547343633,0.19901603243973778,[],2014-01-15 21:00:00+00:00,2014-01,2014-01-15 14:31:00+00:00,-90.95999999999913,19920.80714,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 330.38, 'amount': 12}]",-0.0045453257257919155,-4.258543859299138,0.0,0.0,0,-4.36899571432737,15956.24714,4055.5199999999995,4055.5199999999995,10,[],0.0
